income_hr,education,sex,age,urban_rural,province,sector,hours_worked
130.0,Primary,Female,22,Rural,Eastern Province,Agriculture,30.0
147.72728,Upper_secondary,Male,27,Rural,Eastern Province,Industry,66.0
962.96295,Primary,Male,18,Rural,Eastern Province,Industry,27.0
416.66666,Lower_secondary,Male,26,Urban,Kigali city,Services,48.0
51.02041,Primary,Female,21,Urban,Kigali city,Services,49.0
416.66666,Upper_secondary,Female,24,Urban,Kigali city,Services,60.0
1071.4286,Upper_secondary,Male,20,Urban,Kigali city,Services,35.0
444.44446,Upper_secondary,Female,24,Urban,Kigali city,Services,45.0
89.28571,Lower_secondary,Male,19,Urban,Kigali city,Services,42.0
2187.5,University,Female,28,Urban,Kigali city,Services,48.0
451.3889,Primary,Female,23,Rural,Kigali city,Industry,36.0
55.555557,Primary,Female,27,Urban,Kigali city,Services,45.0
833.3333,University,Male,30,Urban,Kigali city,Services,30.0
238.09525,Primary,Male,21,Urban,Kigali city,Industry,63.0
227.27272,Primary,Female,22,Urban,Kigali city,Services,66.0
416.66666,Upper_secondary,Male,22,Urban,Kigali city,Services,54.0
424.5283,Upper_secondary,Male,28,Urban,Kigali city,Services,53.0
